"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.033023917E0,7.001073030E0,1.313362988E0,8.987603883E-1,7.179673819E0
3.043002917E0,6.740457950E0,1.645124649E0,8.125256518E-1,6.985728768E0
3.052951917E0,6.433453401E0,2.029848635E0,7.277187324E-1,6.785217955E0
3.062930917E0,6.086417643E0,2.439120986E0,6.267758366E-1,6.586853487E0
3.072879917E0,5.691551077E0,2.917584609E0,5.113331616E-1,6.416191645E0
3.082858917E0,5.255055259E0,3.431244963E0,3.893426283E-1,6.288134497E0
3.092807917E0,4.771015146E0,3.966226019E0,2.849768456E-1,6.210857120E0
3.102786917E0,4.238138503E0,4.522281024E0,2.031930463E-1,6.201139496E0
3.112735917E0,3.660130126E0,5.041469336E0,1.817185986E-1,6.232654912E0
3.122714917E0,3.043984747E0,5.557962665E0,2.171725694E-1,6.340658960E0
3.132663917E0,2.400395754E0,6.075729518E0,2.988207865E-1,6.539547600E0
3.142642917E0,1.728010246E0,6.544953956E0,3.870295429E-1,6.780282705E0
3.152591917E0,1.040327253E0,6.953260347E0,4.026018476E-1,7.042172853E0
